workload,engine,runs,operations_per_sec,best_operations_per_sec,worst_operations_per_sec,points_per_sec,logical_mib_per_sec,p50_us,p99_us,sync_p50_ms,sync_p99_ms,file_bytes,bytes_per_point
append-8-series,chronotail,5,15910382.03659318,16204456.948379586,14770848.890729928,15910382.03659318,242.7731634001645,0.042,0.084,0.804,0.804,16021125,16.021125
append-8-series,nanots,5,9030717.960048953,9396991.220607232,8551768.666105814,9030717.960048953,137.79782043531728,0.042,0.083,0.0,0.0,106012672,106.012672
append-8-series,sqlite,5,1474360.2298334162,1478993.66951664,1445836.8709768676,1474360.2298334162,22.496951749167117,0.5,2.458,28.3505,28.3505,36433920,36.43392
append-A-none,chronotail,5,26833982.486726195,28990570.092313223,26309284.295437288,26833982.486726195,409.4540784717742,0.0,0.042,0.201167,0.201167,160198060,16.019806
append-A-none,nanots,5,5296465.46208796,5980983.907846402,3808304.6080057323,5296465.46208796,80.81764926281677,0.041,0.084,0.0,0.0,800169984,80.0169984
append-A-none,sqlite,5,1637998.2841967973,1656879.1479546963,1361341.0576531026,1637998.2841967973,24.993870303295857,0.5,2.292,374.503625,374.503625,374206464,37.4206464
append-B-10MiB,chronotail,5,23983600.033483982,26736362.445914946,18946193.757039696,23983600.033483982,365.9606938703,0.0,0.042,0.760791,0.990959,160200358,16.0200358
append-B-10MiB,nanots,5,4382744.331421264,5575405.936594672,2590020.394799616,4382744.331421264,66.87537126802467,0.041,0.125,0.0,0.0,840015872,84.0015872
append-B-10MiB,sqlite,5,1638091.2567534407,1651223.6887604492,1596514.2028198473,1638091.2567534407,24.99528895192628,0.5,1.708,53.106875,57.855417,374206464,37.4206464
append-C-1MiB,chronotail,5,24643493.36304517,25168334.18751723,24261963.73990805,24643493.36304517,376.029866989825,0.0,0.042,0.316875,0.44225,160330554,16.0330554
append-C-1MiB,nanots,5,3988602.899067675,4553713.584735132,2834530.7259903583,3988602.899067675,60.861250290949634,0.041,0.125,0.0,0.0,812314624,81.2314624
append-C-1MiB,sqlite,5,1581648.7202962372,1628676.2218480604,1498809.364426136,1581648.7202962372,24.134044193973345,0.5,1.75,5.802416,18.46375,374206464,37.4206464
concurrent-1-readers,chronotail,5,2320581.836160751,2433459.103088843,2107925.4218495116,232058183.61607513,3540.926874024584,0.333,1.042,0.0,0.0,0,0
concurrent-1-readers,nanots,5,95092.67018812688,102315.70206719048,87119.40406964744,9509267.018812688,145.09989957905103,9.875,14.417,0.0,0.0,0,0
concurrent-1-readers,sqlite,5,99052.21328438196,102799.3354324633,92360.90381409254,9905221.328438194,151.14168286801444,9.541,14.25,0.0,0.0,0,0
concurrent-1-writer,chronotail,5,14677561.677191388,14905031.314361732,14595375.566680988,14677561.677191388,223.9618175840971,0.0,0.0,0.0,0.0,2390426672,16.285444022847848
concurrent-1-writer,nanots,5,2576606.7458811905,3451444.420392751,2576303.605763589,2576606.7458811905,39.31589883241563,0.0,0.0,0.0,0.0,4139613760,159.88158698284875
concurrent-1-writer,sqlite,5,1490286.622439055,1548490.2571431394,1400536.513218602,1490286.622439055,22.73996921446312,0.0,0.0,0.0,0.0,555841288,37.29200503505309
concurrent-32-readers,chronotail,5,8614432.081016384,9123427.081472874,8279163.621402837,861443208.1016384,13144.580201746192,0.375,1.333,0.0,0.0,0,0
concurrent-32-readers,nanots,5,53743.99663591942,59295.732076665714,50875.532111671055,5374399.663591942,82.0068308043204,200.417,2969.375,0.0,0.0,0,0
concurrent-32-readers,sqlite,5,355410.1481571454,382000.4084737001,328624.754435829,35541014.815714546,542.3128481401756,13.667,1753.541,0.0,0.0,0,0
concurrent-32-writer,chronotail,5,7898352.493583881,8246073.282376029,6923794.378880396,7898352.493583881,120.51929464086733,0.0,0.0,0.0,0.0,1288838551,16.31129575459716
concurrent-32-writer,nanots,5,2566592.476560721,2577682.610932196,2515040.1916941856,2566592.476560721,39.16309320923952,0.0,0.0,0.0,0.0,4139613760,159.91656984501788
concurrent-32-writer,sqlite,5,494705.8823896698,525864.3639643792,329372.2517766058,494705.8823896698,7.5486127073619045,0.0,0.0,0.0,0.0,220475504,44.523245230788305
concurrent-8-readers,chronotail,5,8392505.973965045,8983953.24474596,7968217.923270289,839250597.3965045,12805.947836250374,0.375,1.334,0.0,0.0,0,0
concurrent-8-readers,nanots,5,64817.022786887974,66580.57484693786,34585.8086232991,6481702.278688797,98.90292783643794,101.125,435.583,0.0,0.0,0,0
concurrent-8-readers,sqlite,5,266343.6155657969,294040.04255627166,252712.233264619,26634361.556579687,406.4081048062086,11.917,83.583,0.0,0.0,0,0
concurrent-8-writer,chronotail,5,8226669.445674439,8691302.279436575,7933637.9265057985,8226669.445674439,125.52901375846007,0.0,0.0,0.0,0.0,1341091132,16.299841028401705
concurrent-8-writer,nanots,5,2575315.560425961,3576844.734267168,2188969.2760125087,2575315.560425961,39.29619690591371,0.0,0.0,0.0,0.0,4139613760,159.89779800574937
concurrent-8-writer,sqlite,5,944184.2732944989,1151907.038893333,800325.2520669454,944184.2732944989,14.40710866233061,0.0,0.0,0.0,0.0,379096912,39.065084031833926
point-lookup-warm,chronotail,5,2682409.40557888,2811947.4698968367,2601228.430126127,2682409.40557888,40.93031929899414,0.125,0.541,0.0,0.0,16022401,160.22401
point-lookup-warm,nanots,5,1435200.6820303274,1454339.2028039661,1193501.3897070508,1435200.6820303274,21.8994244694569,0.625,1.792,0.0,0.0,85073920,850.7392
point-lookup-warm,sqlite,5,374533.06260835123,379366.5075535248,370501.93286227103,374533.06260835123,5.7149209992729375,2.625,3.542,0.0,0.0,35966976,359.66976
range-100-compressed-warm,chronotail,5,329065.22031533497,331166.2180308236,296612.0963390038,32906522.0315335,502.1136784596786,2.875,4.084,0.0,0.0,7178293,0.7178293
range-100-raw-warm,chronotail,5,1737196.8591480788,1872140.586075857,1562902.935913165,173719685.9148079,2650.752043377806,0.292,0.958,0.0,0.0,16022401,1.6022401
range-100-raw-warm,nanots,5,105259.05367803543,105980.57667476137,100663.64186985522,10525905.367803542,160.61256969915073,9.375,11.75,0.0,0.0,85073920,8.507392
range-100-raw-warm,sqlite,5,97347.81950010678,97574.98118937315,92722.18180070823,9734781.950010678,148.54098434464535,10.208,11.459,0.0,0.0,35966976,3.5966976
storage-random,nanots,5,4848108.165171651,6057275.018230504,4753236.0476628365,4848108.165171651,73.97625984453813,0.041,0.084,0.0,0.0,800169984,80.0169984
storage-random,sqlite,5,1658206.370909499,1665471.251359406,1616929.2492395379,1658206.370909499,25.30222123580168,0.5,2.291,369.509291,369.509291,374206464,37.4206464
storage-random-compressed,chronotail,5,22294292.635224003,22650659.445636433,21897067.029326476,22294292.635224003,340.1839086185303,0.0,0.042,0.2025,0.2025,107845511,10.7845511
storage-random-raw,chronotail,5,28667221.484426685,29118492.24447158,27588306.119303968,28667221.484426685,437.4270856388349,0.041,0.042,0.203875,0.203875,160198060,16.019806
storage-smooth,nanots,5,5017051.180927856,5993963.9272773415,4689159.156392133,5017051.180927856,76.55412568554468,0.041,0.084,0.0,0.0,800169984,80.0169984
storage-smooth,sqlite,5,1637454.3111869344,1646638.398001969,1622463.6364862903,1637454.3111869344,24.985569933882665,0.5,2.292,364.63725,364.63725,374206464,37.4206464
storage-smooth-compressed,chronotail,5,22453886.050049067,22639702.563572306,21960359.140503958,22453886.050049067,342.61911087111,0.0,0.042,0.209667,0.209667,71759521,7.1759521
storage-smooth-raw,chronotail,5,27591214.568796996,28904497.82514899,27337785.012777258,27591214.568796996,421.00852308345026,0.0,0.042,0.2,0.2,160198060,16.019806
