workload,engine,runs,operations_per_sec,best_operations_per_sec,worst_operations_per_sec,points_per_sec,best_points_per_sec,worst_points_per_sec,logical_mib_per_sec,p50_us,p95_us,p99_us,max_us,sync_p50_ms,sync_p95_ms,sync_p99_ms,sync_max_ms,file_bytes,bytes_per_point,latency_scope
aggregate-100-compressed-warm,chronotail,5,352381.5108888671,365503.9225424087,229147.0023689194,35238151.08888671,36550392.25424087,22914700.23689194,537.691514417827,2.584,3.084,3.5,147.0,0.0,0.0,0.0,0.0,5828384.0,0.5828384,operation
aggregate-100-raw-warm,chronotail,5,355313.73124091397,401829.05836640205,259710.24128379967,35531373.124091394,40182905.8366402,25971024.128379967,542.1657276014922,2.458,3.125,3.625,213.709,0.0,0.0,0.0,0.0,16249408.0,1.6249408,operation
aggregate-100-raw-warm,nanots,5,105418.62717772601,108704.6567005194,82415.3126002505,10541862.717772601,10870465.670051938,8241531.26002505,160.8560595363251,9.375,10.125,11.708,67.292,0.0,0.0,0.0,0.0,85073920.0,8.507392,operation
aggregate-100-raw-warm,sqlite,5,79748.61641134814,82538.78861053825,63090.40294815144,7974861.641134814,8253878.861053825,6309040.294815144,121.6867315846987,11.833,12.625,13.459,334.542,0.0,0.0,0.0,0.0,35966976.0,3.5966976,operation
aggregate-10000-compressed-warm,chronotail,5,47274.897620299846,48511.897542872386,43394.7810086282,472748976.20299846,485118975.4287239,433947810.08628196,7213.576907394386,26.042,28.083,97.75,194.417,0.0,0.0,0.0,0.0,5828384.0,0.05828384,operation
aggregate-10000-raw-warm,chronotail,5,77411.73852250019,80529.58963941089,76820.3297320603,774117385.2250019,805295896.3941088,768203297.320603,11812.093890762359,13.375,14.708,115.75,244.0,0.0,0.0,0.0,0.0,16249408.0,0.16249408,operation
aggregate-10000-raw-warm,nanots,5,1150.249649465014,1181.0349757898164,1095.741285073052,11502496.494650139,11810349.757898163,10957412.85073052,175.51416770401212,862.875,902.541,945.25,4074.416,0.0,0.0,0.0,0.0,85073920.0,0.8507392,operation
aggregate-10000-raw-warm,sqlite,5,1205.3367974661464,1232.9128743051608,1169.0447472335288,12053367.974661464,12329128.743051609,11690447.472335286,183.91979941805212,824.625,861.041,887.375,1060.5,0.0,0.0,0.0,0.0,35966976.0,0.35966976,operation
aggregate-full-compressed-warm,chronotail,5,15094339.62264151,15586034.912718205,11880717.595342759,15094339622641.51,15586034912718.205,11880717595342.76,230321344.33962265,0.0,0.042,0.042,0.542,0.0,0.0,0.0,0.0,5828384.0,0.05828384,operation
aggregate-full-raw-warm,chronotail,5,13871549.452073798,15288182.235132243,10344470.880314471,13871549452073.797,15288182235132.244,10344470880314.47,211663047.05923152,0.041,0.042,0.042,0.5,0.0,0.0,0.0,0.0,16249408.0,0.16249408,operation
aggregate-full-raw-warm,nanots,5,11.52597419871395,11.765717734078072,11.477614290639822,11525974.19871395,11765717.734078072,11477614.290639821,175.87240903799363,86339.875,87154.458,91617.875,111931.666,0.0,0.0,0.0,0.0,85073920.0,0.8507392,operation
aggregate-full-raw-warm,sqlite,5,11.919316774035126,12.236586506526466,0.578135165371299,11919316.774035126,12236586.506526466,578135.1653712991,181.87434042411996,82911.458,86786.291,93336.5,110437.833,0.0,0.0,0.0,0.0,35966976.0,0.35966976,operation
append-8-series,chronotail,5,12903871.000001613,13197596.057878057,12566721.436627595,12903871.000001613,13197596.057878057,12566721.436627595,196.89744567873555,0.042,0.083,0.084,220.083,0.775792,0.775792,0.775792,2.902792,16166080.0,16.16608,operation
append-8-series,nanots,5,8379698.13327392,9121597.71132546,8187513.110767089,8379698.13327392,9121597.71132546,8187513.110767089,127.86404622305176,0.042,0.042,0.083,4.167,0.0,0.0,0.0,0.0,106012672.0,106.012672,operation
append-8-series,sqlite,5,1455960.38331797,1500809.123718825,1430283.596545706,1455960.38331797,1500809.123718825,1430283.596545706,22.216192372405548,0.5,1.334,2.292,4.75,28.569875,28.569875,28.569875,57.057083,36433920.0,36.43392,operation
append-A-none,chronotail,5,20056774.028311625,20714369.54385966,19058394.59131757,20056774.028311625,20714369.54385966,19058394.59131757,306.0420841722355,0.041,0.042,0.042,110.791,1.592584,1.592584,1.592584,1.592584,160637056.0,16.0637056,operation
append-A-none,nanots,5,4488927.723101391,4881557.6465053605,3694256.271313386,4488927.723101391,4881557.6465053605,3694256.271313386,68.49560124361254,0.041,0.042,0.084,351.959,0.0,0.0,0.0,0.0,800169984.0,80.0169984,operation
append-A-none,sqlite,5,1439710.623923434,1510812.707135963,1251072.8536160158,1439710.623923434,1510812.707135963,1251072.8536160158,21.968240721487945,0.5,0.584,2.292,20.0,1098.684292,1098.684292,1098.684292,1098.684292,374206464.0,37.4206464,operation
append-B-10MiB,chronotail,5,19429852.053451102,20064418.460750554,17088552.17503152,19429852.053451102,20064418.460750554,17088552.17503152,296.47601399919284,0.041,0.042,0.042,109.917,0.873125,1.128625,1.128625,1.257542,160784576.0,16.0784576,operation
append-B-10MiB,nanots,5,3040668.3304824703,5225773.672526109,2868853.1056841016,3040668.3304824703,5225773.672526109,2868853.1056841016,46.396916663856054,0.041,0.042,0.125,355.125,0.0,0.0,0.0,0.0,840015872.0,84.0015872,operation
