workload,before_ops_per_sec,after_ops_per_sec,speedup,before_p50_us,after_p50_us,before_p99_us,after_p99_us,before_file_bytes,after_file_bytes
append-8-series,13020494.257962033,15910382.03659318,1.2219491611744293,0.042,0.042,0.084,0.084,16021125,16021125
append-A-none,21438126.692584317,26833982.486726195,1.2516943701059646,0.041,0.0,0.083,0.042,160198060,160198060
append-B-10MiB,23352361.958770715,23983600.033483982,1.0270310162127385,0.041,0.0,0.042,0.042,160200358,160200358
append-C-1MiB,21601153.069550853,24643493.36304517,1.1408415691374745,0.041,0.0,0.042,0.042,160330554,160330554
concurrent-1-readers,474382.8146968245,2320581.836160751,4.891791532633454,1.875,0.333,4.417,1.042,0,0
concurrent-1-writer,8240909.547928074,14677561.677191388,1.7810608879794845,0.0,0.0,0.0,0.0,1343322342,2390426672
concurrent-32-readers,1263067.5000268407,8614432.081016384,6.820246804571667,3.583,0.375,10.625,1.333,0,0
concurrent-32-writer,3006202.9131766334,7898352.493583881,2.6273517529253367,0.0,0.0,0.0,0.0,500841957,1288838551
concurrent-8-readers,1160764.9895466187,8392505.973965045,7.23015084840133,2.917,0.375,8.208,1.334,0,0
concurrent-8-writer,4112767.587683602,8226669.445674439,2.0002757924640897,0.0,0.0,0.0,0.0,677415921,1341091132
point-lookup-warm,852793.9127570508,2682409.40557888,3.145436858134635,0.916,0.125,2.0,0.541,16022401,16022401
range-100-compressed-warm,174457.2615403182,329065.22031533497,1.8862225476311623,5.584,2.875,7.916,4.084,7178293,7178293
range-100-raw-warm,783116.0186381612,1737196.8591480788,2.2183135292891394,1.0,0.292,2.167,0.958,16022401,16022401
storage-random-compressed,7244794.4172472,22294292.635224003,3.0772843715412357,0.041,0.0,0.042,0.042,107845511,107845511
storage-random-raw,24503325.2543828,28667221.484426685,1.1699318842163722,0.041,0.041,0.042,0.042,160198060,160198060
storage-smooth-compressed,7520963.510635348,22453886.050049067,2.985506580147233,0.041,0.0,0.042,0.042,71759521,71759521
storage-smooth-raw,23881074.6364181,27591214.568796996,1.1553590024261728,0.041,0.0,0.042,0.042,160198060,160198060
