workload,before_ops_per_sec,after_ops_per_sec,speedup,before_p50_us,after_p50_us,before_p99_us,after_p99_us,before_file_bytes,after_file_bytes
append-8-series,15910382.03659318,14371274.696137361,0.9032639607951626,0.042,0.042,0.084,0.084,16021125,16021125
append-A-none,26833982.486726195,13446499.069502264,0.5010996439367046,0.0,0.042,0.042,0.084,160198060,160198060
append-B-10MiB,23983600.033483982,14082778.926600028,0.5871836966484922,0.0,0.042,0.042,0.084,160200358,160200358
append-C-1MiB,24643493.36304517,13752866.82806802,0.5580729414236177,0.0,0.042,0.042,0.084,160330554,160330554
concurrent-1-readers,2320581.836160751,1722958.9894978062,0.7424685320937993,0.333,0.375,1.042,1.042,0,0
concurrent-1-writer,14677561.677191388,7305019.283191995,0.49769978446378027,0.0,0.0,0.0,0.0,2390426672,1192007220
concurrent-32-readers,8614432.081016384,8342458.585435315,0.9684281571874696,0.375,0.25,1.333,0.917,0,0
concurrent-32-writer,7898352.493583881,1330464.6772771764,0.16844837937506096,0.0,0.0,0.0,0.0,1288838551,233178218
concurrent-8-readers,8392505.973965045,6619020.712356712,0.788682275936415,0.375,0.292,1.334,1.0,0,0
concurrent-8-writer,8226669.445674439,3920606.063149447,0.4765726991997827,0.0,0.0,0.0,0.0,1341091132,646315812
point-lookup-warm,2682409.40557888,1881558.985265455,0.701443628013004,0.125,0.125,0.541,0.333,16022401,16022401
range-100-compressed-warm,329065.22031533497,166210.9254506818,0.5051002512249883,2.875,5.625,4.084,8.916,7178293,7178293
range-100-raw-warm,1737196.8591480788,1228813.8363258308,0.7073543967426011,0.292,0.375,0.958,0.792,16022401,16022401
storage-random-compressed,22294292.635224003,11568941.24013733,0.518919412668824,0.0,0.042,0.042,0.083,107845511,107845511
storage-random-raw,28667221.484426685,15499799.761961825,0.5406802249873435,0.041,0.042,0.042,0.084,160198060,160198060
storage-smooth-compressed,22453886.050049067,12516201.957464647,0.5574180758540589,0.0,0.042,0.042,0.084,71759521,71759521
storage-smooth-raw,27591214.568796996,15329385.377874142,0.5555893648556595,0.0,0.042,0.042,0.083,160198060,160198060
